"id"	"sl"	"tl"	"subcorpus"	"year"	"type"	"type_adv"	"phase"	"tokens"	"sents"
"DE-DA_1996_0002"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2012	82
"DE-DA_1996_0003"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2031	94
"DE-DA_1996_0004"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2002	92
"DE-DA_1996_0005"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2014	75
"DE-DA_1996_0006"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2014	81
"DE-DA_1996_0007"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2030	82
"DE-DA_1996_0009"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2000	89
"DE-DA_1996_0010"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2036	76
"DE-DA_1996_0011"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2015	79
"DE-DA_1996_0012"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2036	84
"DE-DA_1996_0013"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2041	89
"DE-DA_1996_0014"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2001	74
"DE-DA_1996_0015"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2001	74
"DE-DA_1996_0016"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2003	95
"DE-DA_1996_0018"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2028	93
"DE-DA_1996_0019"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2019	78
"DE-DA_1996_0020"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2041	78
"DE-DA_1996_0021"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2027	78
"DE-DA_1996_0022"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2007	81
"DE-DA_1996_0023"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2017	89
"DE-DA_1996_0024"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2014	78
"DE-DA_1996_0025"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2005	83
"DE-DA_1996_0026"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2006	90
"DE-DA_1996_0027"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2046	80
"DE-DA_1996_0028"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2005	93
"DE-DA_1996_0029"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2037	91
"DE-DA_1996_0030"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2006	88
"DE-DA_1996_0031"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2014	79
"DE-DA_1996_0032"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2010	77
"DE-DA_1996_0033"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2012	83
"DE-DA_1996_0035"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2012	83
"DE-DA_1996_0036"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2015	76
"DE-DA_1996_0037"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2040	82
"DE-DA_1996_0038"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2001	71
"DE-DA_1996_0039"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2022	76
"DE-DA_1996_0040"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2027	71
"DE-DA_1996_0041"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2042	93
"DE-DA_1996_0042"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2011	75
"DE-DA_1996_0043"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2003	92
"DE-DA_1996_0044"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2020	76
"DE-DA_1996_0046"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2013	85
"DE-DA_1996_0047"	"DE"	"DA"	"DE-DA"	"1996"	"TRANS"	"T_DIR"	"BEFORE"	2030	85
